task,task_label,dimension,description,n_pairs,n_actors,mean_left_minus_right_equal_actor,ci_low,ci_high,ci_excludes_zero,raw_pair_mean,raw_pair_sd,pct_left_better,pct_right_better,pct_tie_or_not_applicable
essay,Essay writing,argument_depth,"Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",120,7,0.44724556489262374,0.2623716153127918,0.6171802054154994,True,0.45,0.887352781019586,0.7166666666666667,0.26666666666666666,0.016666666666666666
essay,Essay writing,concrete_example_quality,"Which essay uses the required concrete example more specifically, plausibly, and usefully?",120,7,0.2483660130718954,0.016806722689075633,0.45471521942110177,True,0.25,0.954863710632231,0.6083333333333333,0.35833333333333334,0.03333333333333333
essay,Essay writing,counterargument_qualification,Which essay better anticipates objections or tradeoffs and responds to them?,120,7,0.14799253034547152,0.013538748832866482,0.2941176470588235,True,0.15,0.8163250300106255,0.4166666666666667,0.26666666666666666,0.31666666666666665
essay,Essay writing,plausibility_overreach,"Which essay better avoids exaggerated, awkward, unsupported, or factually dubious claims?",120,7,-0.008403361344537815,-0.025210084033613443,0.0,False,-0.008333333333333333,0.09128709291752769,0.0,0.008333333333333333,0.9916666666666667
essay,Essay writing,rhetorical_coherence_closure,"Which essay has better paragraph flow, transitions, and final synthesis?",120,7,0.3389355742296919,0.19327731092436976,0.5014005602240895,True,0.3416666666666667,0.8351101505702311,0.575,0.23333333333333334,0.19166666666666668
essay,Essay writing,thesis_stakes_framing,Which essay presents the central claim and its stakes more clearly and compellingly?,120,7,0.25490196078431376,0.04201680672268905,0.47345938375350044,True,0.25833333333333336,0.902804531672811,0.5666666666666667,0.30833333333333335,0.125
grant_proposal_abstract,Grant abstract,evaluation_rigor,"Which abstract describes stronger outcomes, design, measurement, comparison/control logic, and analysis plan?",120,7,0.5527544351073762,0.40149393090569563,0.6974789915966386,True,0.55,0.8386664083757112,0.775,0.225,0.0
grant_proposal_abstract,Grant abstract,feasibility_implementation_readiness,"Which abstract gives more credible evidence that the project can actually be executed, including partners, team capacity, timeline, infrastructure, or prior pilots?",120,7,0.5014005602240895,0.3753501400560224,0.638655462184874,True,0.5,0.8301057946142172,0.7166666666666667,0.21666666666666667,0.06666666666666667
grant_proposal_abstract,Grant abstract,intervention_specificity,"Which abstract gives a more concrete account of what will be built, delivered, tested, or changed?",120,7,0.5695611577964519,0.4416433239962651,0.6806722689075629,True,0.5666666666666667,0.8274018597604272,0.7833333333333333,0.21666666666666667,0.0
grant_proposal_abstract,Grant abstract,measurable_impact,"Which abstract gives more concrete and credible expected impacts, not just larger or more dramatic claims?",120,7,0.484593837535014,0.3780812324929972,0.5882352941176471,True,0.48333333333333334,0.8400013338658211,0.7083333333333334,0.225,0.06666666666666667
