task,task_label,actor,actor_label,dimension,n_pairs,mean_left_minus_right,pct_left_better,pct_right_better,pct_tie_or_not_applicable
essay,Essay writing,deepseek-v3.2-or,DeepSeek V3.2,argument_depth,17,-0.8235294117647058,0.058823529411764705,0.8823529411764706,0.058823529411764705
essay,Essay writing,glm-5.1-or,GLM-5.1,argument_depth,17,0.11764705882352941,0.5294117647058824,0.4117647058823529,0.058823529411764705
essay,Essay writing,gpt-5.4-mini-or,GPT-5.4 mini,argument_depth,17,-0.29411764705882354,0.35294117647058826,0.6470588235294118,0.0
essay,Essay writing,kimi-k2.5-or,Kimi K2.5,argument_depth,18,-0.6666666666666666,0.16666666666666666,0.8333333333333334,0.0
essay,Essay writing,mimo-v25-pro-or,MiMo V2.5 Pro,argument_depth,17,0.058823529411764705,0.5294117647058824,0.47058823529411764,0.0
essay,Essay writing,qwen3.5-9b-or,Qwen3.5 9B,argument_depth,17,-0.17647058823529413,0.4117647058823529,0.5882352941176471,0.0
essay,Essay writing,qwen3.6-plus-or,Qwen3.6 Plus,argument_depth,17,-0.4117647058823529,0.23529411764705882,0.6470588235294118,0.11764705882352941
essay,Essay writing,deepseek-v3.2-or,DeepSeek V3.2,concrete_example_quality,17,-0.6470588235294118,0.17647058823529413,0.8235294117647058,0.0
essay,Essay writing,glm-5.1-or,GLM-5.1,concrete_example_quality,17,0.17647058823529413,0.5294117647058824,0.35294117647058826,0.11764705882352941
essay,Essay writing,gpt-5.4-mini-or,GPT-5.4 mini,concrete_example_quality,17,-0.17647058823529413,0.4117647058823529,0.5882352941176471,0.0
essay,Essay writing,kimi-k2.5-or,Kimi K2.5,concrete_example_quality,18,-0.7777777777777778,0.1111111111111111,0.8888888888888888,0.0
essay,Essay writing,mimo-v25-pro-or,MiMo V2.5 Pro,concrete_example_quality,17,0.17647058823529413,0.5882352941176471,0.4117647058823529,0.0
essay,Essay writing,qwen3.5-9b-or,Qwen3.5 9B,concrete_example_quality,17,0.17647058823529413,0.5882352941176471,0.4117647058823529,0.0
